date  login1 login2 login3 login4 login5
Jan01 73 65 14 62 60
Jan02 89 88 13 92 94
Jan03 101 99 24 99 95
Jan04 73 59 13 56 49
Jan05 73 64 13 62 61
Jan06 107 110 24 93 94
Jan07 138 112 25 116 116
Jan08 138 103 18 113 107
Jan09 141 106 15 127 121
Jan10 141 114 13 115 113
Jan11 82 71 12 55 76
Jan12 78 61 13 49 71
Jan13 143 118 17 90 135
Jan14 153 132 15 93 142
Jan15 138 140 8 118 124
Jan16 141 127 10 118 99
Jan17 124 114 11 77 112
Jan18 85 73 11 55 68
Jan19 82 66 12 60 63
Jan20 110 91 11 66 91
Jan21 136 141 14 107 130
Jan22 136 144 15 123 119
Jan23 141 136 18 130 104
Jan24 145 133 15 137 81
Jan25 93 80 10 77 63
Jan26 97 79 11 73 63
Jan27 152 144 28 138 103
Jan28 125 100 47 83 73
Jan29 78 69 56 39 60
Jan30 65 75 64 58 67
Jan31 81 97 78 81 97
Feb01 50 56 47 34 53
Feb02 59 60 55 20 49
Feb03 86 103 97 55 96
Feb04 83 107 89 83 103
Feb05 90 110 102 71 100
Feb06 105 114 92 75 92
Feb07 85 94 93 55 88
Feb08 54 59 67 30 64
Feb09 45 74 78 32 64
Feb10 101 112 117 78 114
Feb11 90 118 122 100 104
Feb12 92 128 126 90 109
Feb13 87 97 141 89 132
Feb14 82 115 129 92 103
Feb15 43 78 84 54 69
Feb16 54 76 77 47 47
Feb17 79 90 110 87 94
Feb18 80 125 121 95 124
Feb19 80 128 129 105 122
Feb20 89 120 125 93 148
Feb21 100 130 131 101 136
Feb22 66 77 73 46 74
Feb23 59 75 85 37 73
Feb24 116 132 116 105 112
Feb25 117 142 116 111 121
Feb26 111 152 119 100 105
Feb27 97 140 144 88 122
Feb28 114 132 123 75 115
Feb29 64 87 79 43 62
Mar01 71 86 83 42 67
Mar02 102 135 132 95 140
Mar03 146 126 136 110 123
Mar04 103 134 119 94 99
Mar05 120 116 113 73 121
Mar06 118 109 124 71 105
Mar07 64 74 70 31 73
Mar08 68 75 76 27 72
Mar09 125 107 130 82 110
Mar10 61 59 66 36 59
Mar17 105 94 25 65 92
Mar18 155 155 35 123 78
Mar19 148 158 59 146 45
Mar20 146 163 42 139 46
Mar21 101 111 22 100 30
Mar22 99 109 22 96 29
Mar23 152 164 76 139 44
Mar24 150 124 93 145 99
Mar25 153 134 110 144 84
Mar26 154 104 70 127 71
Mar27 109 106 57 86 72
Mar28 58 71 35 43 72
Mar29 52 61 47 66 78
Mar30 88 98 121 115 127
Mar31 91 102 103 136 96
